week_start_date,category_name,has_promotion,transaction_count,avg_revenue_per_transaction,avg_units_per_transaction,total_discount_amount,discount_pct_of_revenue,gross_profit,net_margin,uplift_vs_non_promo
2022-10-11,Accessories,False,11,89.26272727272728,1.7272727272727273,0.0,0.0,342.2,34.851154406262566,-25.937732332251766
2022-10-11,Accessories,True,10,66.11,1.6,78.21,11.830282861878942,112.72,17.05037059443798,-25.937732332251766
2022-10-11,Grooming,False,6,90.36,2.3333333333333335,0.0,0.0,156.65,28.893684521121273,-31.7632248779132
2022-10-11,Grooming,True,8,61.65875,1.5,70.03999999999999,14.199120157288709,101.85000000000001,20.647921016845448,-31.7632248779132
2022-10-11,Toys,False,9,29.84444444444445,1.4444444444444444,0.0,0.0,76.78,28.585256887458726,47.50148920168459
2022-10-11,Toys,True,10,44.021,1.6,70.11,15.926489629913165,63.86,14.50671270526679,47.50148920168459
2022-10-11,Treats,False,12,20.715,1.5833333333333333,0.0,0.0,75.02,30.17941910036938,7.532631500406889
2022-10-11,Treats,True,13,22.275384615384613,1.7692307692307692,41.33,14.272394502333475,62.73,21.662407624761165,7.532631500406889
2022-10-11,Wellness,False,2,86.22,2.0,0.0,0.0,61.94,35.91974019928138,-19.87937833426259
2022-10-11,Wellness,True,12,69.08,1.75,148.66,17.93331403201851,172.92000000000002,20.859872611439805,-19.87937833426259
2022-10-18,Accessories,False,70,78.908,1.5142857142857142,0.0,0.0,1734.23,31.39696137997389,-7.627588809374854
2022-10-18,Accessories,True,90,72.88922222222222,1.5777777777777777,909.01,13.856796386599779,1261.12,19.224302327882764,-7.627588809374854
2022-10-18,Grooming,False,50,86.10040000000001,1.72,0.0,0.0,1249.16,29.016357647576775,-22.7352449487783
2022-10-18,Grooming,True,57,66.52526315789474,1.5964912280701755,531.83,14.025274661515208,754.58,19.89957647008658,-22.7352449487783
2022-10-18,Toys,False,70,37.349,1.5,0.0,0.0,786.53,30.084186610454257,13.899576805369552
2022-10-18,Toys,True,85,42.540352941176465,1.611764705882353,533.07,14.742265475267846,733.99,20.298788969913605,13.899576805369552
2022-10-18,Treats,False,53,20.35811320754717,1.6037735849056605,0.0,0.0,312.18,28.93288105430227,-0.39597582900425876
2022-10-18,Treats,True,76,20.2775,1.618421052631579,219.32,14.231485507002036,295.03000000000003,19.144242062423906,-0.39597582900425876
2022-10-18,Wellness,False,54,67.25481481481481,1.5185185185185186,0.0,0.0,1082.14,29.796572460727088,-5.109346432507668
2022-10-18,Wellness,True,75,63.818533333333335,1.5466666666666666,680.03,14.207576064630292,1012.56,21.154983191921016,-5.109346432507668
2022-10-25,Accessories,False,56,78.73464285714286,1.6964285714285714,0.0,0.0,1328.84,30.138303614757035,-4.199329478926096
2022-10-25,Accessories,True,95,75.42831578947369,1.6526315789473685,1094.38,15.272499926732072,1352.78,18.878572754330865,-4.199329478926096
2022-10-25,Grooming,False,41,75.3590243902439,1.6585365853658536,0.0,0.0,959.39,31.051033750621077,-2.7373074302529865
2022-10-25,Grooming,True,74,73.29621621621622,1.4189189189189189,839.48,15.477366922813115,1170.44,21.579226832250185,-2.7373074302529865
2022-10-25,Toys,False,78,42.74346153846154,1.4615384615384615,0.0,0.0,990.52,29.70974717979667,0.7533435912948846
2022-10-25,Toys,True,75,43.065466666666666,1.6533333333333333,455.73,14.1096810747005,649.16,20.098392834469042,0.7533435912948846
2022-10-25,Treats,False,55,24.264181818181818,1.7818181818181817,0.0,0.0,410.21,30.738162499133974,-12.20238847212199
2022-10-25,Treats,True,86,21.303372093023256,1.6395348837209303,252.69,13.792444694303342,381.04,20.79810489658216,-12.20238847212199
2022-10-25,Wellness,False,49,79.36224489795919,1.7551020408163265,0.0,0.0,1103.46,28.375699132104565,-14.24631105228289
2022-10-25,Wellness,True,76,68.05605263157895,1.5921052631578947,806.95,15.601497217847593,1021.65,19.75248730728545,-14.24631105228289
2022-11-01,Accessories,False,70,102.80971428571429,1.6857142857142857,0.0,0.0,2162.97,30.0551087445836,-18.65674890145002
